No,N,E,Z,,
1,0.00,0.00,0.00,,
2,0.24,-0.17,100.00,,
3,0.73,-0.56,200.00,,
4,1.22,-1.05,300.00,,
5,1.60,-1.47,399.99,,
6,1.51,-1.54,499.99,,
7,0.81,-1.34,599.99,,
8,-0.13,-1.28,699.99,,
9,-1.21,-1.48,799.98,,
10,-2.79,-1.77,899.97,,
11,-5.08,-2.09,999.94,,
12,-8.04,-2.37,1099.90,,
13,-11.47,-2.36,1199.84,,
14,-14.73,-2.03,1299.78,,
15,-17.24,-1.69,1399.75,,
16,-18.76,-1.19,1499.74,,
17,-19.60,-0.29,1599.73,,
18,-20.27,0.88,1699.72,,
19,-20.58,2.29,1799.71,,
20,-20.08,3.73,1899.70,,
21,-18.66,4.42,1999.68,,
22,-17.17,3.71,2099.67,,
23,-16.68,2.20,2199.66,,
24,-17.25,1.13,2299.65,,
25,-18.14,1.25,2399.64,,
26,-18.36,2.20,2499.64,,
27,-17.41,2.93,2599.63,,
28,-15.84,2.56,2699.62,,
29,-14.95,1.17,2799.60,,
30,-15.32,0.09,2899.59,,
31,-16.29,0.51,2999.59,,
32,-16.63,2.30,3099.57,,
33,-15.30,4.09,3199.54,,
34,-13.06,4.49,3299.51,,
35,-11.73,3.45,3399.50,,
36,-11.74,2.10,3499.49,,
37,-12.34,1.67,3599.49,,
38,-12.53,2.57,3699.48,,
39,-11.52,4.35,3799.46,,
40,-9.34,5.88,3899.42,,
41,-6.78,6.15,3999.39,,
42,-4.95,5.10,4099.36,,
43,-4.54,3.56,4199.35,,
44,-5.48,2.58,4299.34,,
45,-6.83,2.92,4399.33,,
46,-6.75,4.22,4499.32,,
47,-4.76,4.72,4599.30,,
48,-2.99,3.38,4699.27,,
49,-3.05,1.44,4799.25,,
50,-4.61,0.50,4899.23,,
51,-6.61,1.39,4999.20,,
52,-7.87,3.63,5099.17,,
53,-7.96,6.19,5199.14,,
54,-7.04,8.61,5299.10,,
55,-5.37,10.23,5399.07,,
56,-4.13,10.80,5499.06,,
57,-4.40,11.45,5599.06,,
58,-5.63,13.53,5699.03,,
59,-7.07,16.46,5798.98,,
60,-8.30,20.37,5898.89,,
61,-9.25,30.06,5998.38,,
62,-10.16,49.80,6096.36,,
63,-14.51,77.06,6192.44,,
64,-22.99,106.62,6287.59,,
65,-33.62,136.62,6382.39,,
66,-47.86,169.65,6475.67,,
67,-66.27,209.33,6565.55,,
68,-86.34,258.53,6650.18,,
69,-102.73,317.54,6729.16,,
70,-115.63,385.00,6801.77,,
71,-129.42,459.98,6866.41,,
72,-146.08,540.78,6922.85,,
73,-164.62,625.65,6972.35,,
74,-182.93,713.68,7016.06,,
75,-201.57,803.03,7056.92,,
76,-221.90,891.83,7098.17,,
77,-245.24,979.60,7140.00,,
78,-271.98,1064.17,7186.09,,
79,-300.46,1144.38,7238.55,,
80,-329.01,1222.97,7293.41,,
81,-357.59,1303.20,7345.78,,
82,-387.14,1386.55,7392.40,,
83,-418.08,1471.64,7434.86,,
84,-449.00,1557.42,7475.92,,
85,-478.21,1644.20,7516.12,,
86,-506.91,1731.05,7556.53,,
87,-533.88,1818.62,7596.55,,
88,-555.81,1908.36,7634.78,,
89,-573.90,1999.74,7671.16,,
90,-590.44,2091.27,7707.87,,
91,-605.94,2182.01,7746.93,,
92,-621.94,2272.22,7787.00,,
93,-640.27,2362.02,7826.99,,
94,-661.12,2451.01,7867.55,,
95,-684.18,2538.55,7910.03,,
96,-708.60,2624.68,7954.57,,
97,-733.15,2710.20,8000.21,,
98,-757.84,2795.55,8046.10,,
99,-782.80,2881.58,8090.56,,
100,-807.18,2969.40,8131.67,,
101,-831.23,3058.17,8170.94,,
102,-856.48,3146.16,8211.18,,
103,-883.68,3232.88,8252.89,,
104,-911.59,3318.63,8296.10,,
105,-938.10,3404.73,8339.49,,
106,-962.60,3491.78,8382.17,,
107,-984.57,3580.74,8422.18,,
108,-1003.34,3672.14,8458.12,,
109,-1019.88,3764.17,8493.56,,
110,-1035.08,3856.15,8529.74,,
111,-1042.90,3906.97,8549.25,,
